type,name,unit,cost_per_unit,herb_code,cost_year,web_source,source_date,note,,,,
human,student,hour,16.48,,2023,"https://www.glassdoor.com/Salaries/student-worker-salary-SRCH_KO0,14.htm",2023,,,,,
human,student,hour,13.00,,2023,https://www.ziprecruiter.com/Salaries/Student-Worker-Salary,2023,,,,,
human,student,hour,11.72,,2023,https://www.indeed.com/career/student-worker/salaries,2023,,,,,
human,seasonal,hour,23.15,,2023,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,2021,median pay,,,,
human,seasonal,hour,24.41,,2023,https://www.federalpay.org/employees/occupations/forestry-technician,2021,Forestry Technician,,,,
human,seasonal,hour,19.12,,2023,https://www.federalpay.org/employees/occupations/laboring,2021,USFWS 'Laborer',,,,
human,seasonal,hour,20.98,,2023,https://www.federalpay.org/employees/occupations/laboring,2021,NPS 'Laborer',,,,
human,seasonal,hour,15.51,,2023,https://www.bls.gov/oes/current/oes454011.htm,2022,Forest and Conservation Workers median wage,,,,
human,full,hour,23.39,,2023,https://www.federalpay.org/employees/occupations/biological-science-technician,2021,Biological Science Technician; wage divided by 2080 hours,,,,
human,full,hour,33.56,,2023,https://www.bls.gov/oes/current/oes191031.htm,2022,Conservation scientist - mean wage,,,,
human,full,hour,24.41,,2023,https://www.federalpay.org/employees/occupations/forestry-technician,2021,Forestry Technician,,,,
human,full,hour,19.12,,2023,https://www.federalpay.org/employees/occupations/laboring,2021,USFWS 'Laborer',,,,
human,full,hour,20.98,,2023,https://www.federalpay.org/employees/occupations/laboring,2021,NPS 'Laborer',,,,
glyphosate,AquaNeat,gallon,43.58,2,2023,https://www.forestrydistributing.com/aquaneat-aquatic-herbicide-nufarm,6/8/2023,,,,,
glyphosate,AquaMaster,gallon,79.98,3,2023,https://seedbarn.com/products/monsanto-aquamaster-aquatic-custom-herbicide-2-5-gal?variant=12538286047332,6/8/2023,,,,,
glyphosate,Accord Concentrate,gallon,72.48,1,2023,forestry-suppliers.com,6/8/2023,"called ""Accord XRT II Herbicide"" ?",,,,
glyphosate,AquaPro,gallon,,4,2023,,6/8/2023,Discontinued,,,,
glyphosate,AquaStar,gallon,75.28,5,2023,https://www.domyown.com/aqua-star-herbicide-p-1820.html,6/8/2023,,,,,
glyphosate,Glyphos Aquatic,gallon,,6,2023,,6/8/2023,Could not find,,,,
glyphosate,Glyphomate 41 Weed and Grass Killer Plus,gallon,,7,2023,,6/8/2023,Discontinued,,,,
glyphosate,Rodeo,gallon,62.38,8,2023,https://www.industrialvm.com/rodeo-herbicide,6/8/2023,,,,,
glyphosate,Roundup Custom,gallon,51.98,9,2023,forestry-suppliers.com,6/8/2023,,,,,
glyphosate,Roundup WeatherMAX,gallon,,10,2023,,6/8/2023,Could not find. Discontinued?,,,,
glyphosate,Shore-Klear,gallon,184.88,11,2023,https://www.newtechbio.com/catalog/duckweed-pondweed-control-c-7_9/shoreklear-herbicide-32oz-covers-10000-sq-ft-free-shipping-p-70.html,6/8/2023,"For one quart, converted to gallons",,,,
glyphosate,Shore-Klear Plus,gallon,198.00,12,2023,https://bjpond.com/product/shoreklear-plus-aquatic-herbicide-1-gal/,6/8/2023,,,,,
glyphosate,Shoreline Defense,gallon,197.50,13,2023,https://www.pondandgardendepot.com/algae-control-water-treatments/pond-logic-shoreline-defense-aquatic-herbicide/?sku=POT-AM-107,6/8/2023,,,,,
glyphosate,VisionMAX,gallon,,14,2023,,6/8/2023,Could not find,,,,
glyphosate,Roundup ProMax,gallon,54.38,16,2023,forestry-suppliers.com,6/8/2023,,,,,
glyphosate,Farm General Aquatic Herbicide,gallon,66.99,17,2023,https://www.agrisupply.com/aquatic-herbicide-1-gal/p/120441/,6/8/2023,,,,,
glyphosate,Alligare Glyphosate 5.4,gallon,38.64,18,2023,https://www.solutionsstores.com/glyphosate-5-4-aquatic-herbicide,6/8/2023,,,,,
glyphosate,Roundup WeatherPro,gallon,,19,2023,,6/8/2023,"Can't find pricing, called but having trouble getting pricing as non-customer",,,,
imazapyr,Arsenal,gallon,179.18,1,2023,forestrydistributing.com,6/8/2023,,,,,
imazapyr,Arsenal,gallon,210.40,1,2023,https://www.forestry-suppliers.com/p/17143/19041/arsenal-applicators-concentrate-herbicide,6/8/2023,,,,,
imazapyr,Arsenal Powerline,gallon,106.38,2,2023,forestrydistributing.com,6/8/2023,,,,,
imazapyr,Habitat,gallon,138.00,3,2023,forestrydistributing.com,6/8/2023,,,,,
imazapyr,Nufarm Polaris,gallon,82.38,4,2023,forestrydistributing.com,6/8/2023,,,,,
imazapyr,Nufarm Polaris AC Complete,gallon,153.98,5,2023,forestrydistributing.com,6/8/2023,,,,,
imazapyr,Alligare Imazapyr 4 SL,gallon,146.95,7,2023,https://www.forestrydistributing.com/imazapyr-4-sl-herbicide-generic-arsenal-ac-alligare,4/5/2023,,,,,
imazapyr,Habitat Aqua,gallon,624.40,8,2023,From GLPC member,4/5/2023,,,,,
added,Arsenal,gallon,179.18,1,2023,forestrydistributing.com,6/8/2023,,,,,
added,Arsenal,gallon,210.40,1,2023,https://www.forestry-suppliers.com/p/17143/19041/arsenal-applicators-concentrate-herbicide,6/8/2023,,,,,
added,Arsenal Powerline,gallon,106.38,2,2023,forestrydistributing.com,6/8/2023,,,,,
added,ClearCast,gallon,339.95,3,2023,https://www.forestrydistributing.com/clearcast-aquatic-herbicide-sepro,6/8/2023,,,,,
added,Habitat,gallon,138.00,4,2023,forestrydistributing.com,6/8/2023,,,,,
added,Nufarm Polaris,gallon,82.38,5,2023,forestrydistributing.com,6/8/2023,,,,,
added,Nufarm Polaris AC Complete,gallon,153.98,6,2023,forestrydistributing.com,6/8/2023,,,,,
added,Alligare Imazapyr 4 SL,gallon,146.95,8,2023,https://www.forestrydistributing.com/imazapyr-4-sl-herbicide-generic-arsenal-ac-alligare,4/5/2023,,,,,
added,Habitat Aqua,gallon,624.40,9,2023,From GLPC member,4/5/2023,,,,,
fuel,gas,gallon,3.56,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Michigan, USA",,,,
fuel,gas,gallon,3.50,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Wisconsin, USA",,,,
fuel,gas,gallon,3.93,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Illinois, USA",,,,
fuel,gas,gallon,3.63,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Indiana, USA",,,,
fuel,gas,gallon,3.58,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Ohio, USA",,,,
fuel,gas,gallon,3.66,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Pennsylvania, USA",,,,
fuel,gas,gallon,3.70,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: New York, USA",,,,
fuel,gas,gallon,3.47,,2023,https://gasprices.aaa.com/?state=US,4/5/2023,"Location: Minnesota, USA",,,,
fuel,gas,gallon,5.11,,2023,globalpetrolprices.com,5/6/2023,Canada,,,,
fuel,diesel,gallon,3.97,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Michigan, USA",,,,
fuel,diesel,gallon,3.67,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Wisconsin, USA",,,,
fuel,diesel,gallon,3.97,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Illinois, USA",,,,
fuel,diesel,gallon,4.02,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Indiana, USA",,,,
fuel,diesel,gallon,3.90,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Ohio, USA",,,,
fuel,diesel,gallon,4.37,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: Pennsylvania, USA",,,,
fuel,diesel,gallon,4.52,,2023,https://gasprices.aaa.com/?state=US,6/8/2023,"Location: New York, USA",,,,
fuel,diesel,gallon,3.82,,2023,https://gasprices.aaa.com/?state=US,4/5/2023,"Location: Minnesota, USA",,,,
fuel,diesel,gallon,4.28,,2023,globalpetrolprices.com,5/6/2023,Canada,,,,
fuel,jet,gallon,5.81,,2023,100LL.com,6/8/2023,Northcentral US,,,,
fuel,jet,gallon,6.17,,2023,100LL.com,6/8/2023,Northeast US,,,,
fuel,avgas,gallon,6.81,,2023,100LL.com,6/8/2023,Northeast US,,,,
fuel,avgas,gallon,6.39,,2023,100LL.com,6/8/2023,Northcentral US,,,,
electricity,electricity,kWh,0.10,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Illinois, USA",,,,
electricity,electricity,kWh,0.10,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Indiana, USA",,,,
electricity,electricity,kWh,0.13,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Michigan, USA",,,,
electricity,electricity,kWh,0.11,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Minnesota, USA",,,,
electricity,electricity,kWh,0.16,,2023,https://www.eia.gov/electricity/state/,2021,"Location: New York, USA",,,,
electricity,electricity,kWh,0.10,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Ohio, USA",,,,
electricity,electricity,kWh,0.10,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Pennsylvania, USA",,,,
electricity,electricity,kWh,0.11,,2023,https://www.eia.gov/electricity/state/,2021,"Location: Wisconsin, USA",,,,
electricity,electricity,kWh,0.10,,2023,https://www.oeb.ca/rates-and-your-bill/electricity-rates,6/8/2023,Location: Ontario; average across time-of-use hours,,,,
surfactant,Cygnet Plus,gallon,46.00,,2023,https://keystonehatcheries.com/products/cygnet-plus-surfactant-1-gal,6/8/2023,,,,,
surfactant,Cygnet Plus,gallon,31.98,,2023,https://www.aquadocinc.com/product/surfactant-cygnet-plus-2-5-gallon/,6/8/2023,,,,,
surfactant,Cygnet Plus,gallon,39.99,,2023,https://thepondshop.com/products/cygent-plus-surfactant-spray-adjuvant?variant=6057642590251&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6/8/2023,,,,,
surfactant,Southern Ag Methylated Seed Oil,gallon,49.99,,2023,https://www.amazon.com/Southern-Ag-Methylated-Seed-Surfactant/dp/B0149IA526/ref=asc_df_B0149IA526/?tag=hyprod-20&linkCode=df0&hvadid=167126632682&hvpos=&hvnetw=g&hvrand=1291265965543810596&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1019672&hvtargid=pla-305338873654&th=1,6/8/2023,,,,,
surfactant,Alligare MSO,gallon,23.60,,2023,https://www.solutionsstores.com/methylated-seed-oil-mso?gclid=CjwKCAiA76-dBhByEiwAA0_s9ZjhSZwbipIkrgXuhZ8uyp4KHlTKrcuhyM8s-nh4bqLTdkyFiy5IKBoCpY0QAvD_BwE#156=943,6/8/2023,,,,,
surfactant,Brandt MSO,gallon,19.98,,2023,https://www.forestrydistributing.com/brandt-mso-methylated-seed-oil-surfactant-brandt,6/8/2023,,,,,
surfactant,Cidekick II,gallon,42.50,,2023,https://www.forestry-suppliers.com/p/17132/18911/cide-kick-ii-nonionic-spray-adjuvant-herbicides,6/8/2023,,,,,
surfactant,Elite Platinum,gallon,77.00,,2023,https://azelisaes-us.com/product/elite-platinum/,6/8/2023,,,,,
surfactant,AquaChem,gallon,15.75,,2023,https://www.arborchem.com/product/6/aquachem-90-2-5-gal-container,6/8/2023,,,,,
surfactant,RRSI Sunset,gallon,33.60,,2023,https://azelisaes-us.com/product/rrsi-sunset/,6/8/2023,,,,,
surfactant,Inlet,gallon,27.59,,2023,"https://lawnpropesticides.com/product/inlet/#:~:text=Inlet%20is%20a%20nonionic%20wetter,over%20all%20leaf%20tissue%20uniformly.",6/8/2023,,,,,
surfactant,RRSI NIS,gallon,26.10,,2023,https://www.forestry-suppliers.com/p/17186/87960/rrsi-nis-non-ionic-surfactant,6/8/2023,,,,,
surfactant,Elite Supreme,gallon,100.80,,2023,https://www.forestry-suppliers.com/p/17202/87961/elite-supreme-surfactant,6/8/2023,,,,,
surfactant,Alligare 90 ,gallon,19.18,,2023,https://www.amazon.com/Alligare-2-5-Gallon-Surfactant-Non-Ionic/dp/B00799KJN8,6/8/2023,,,,,
surfactant,Activator 90 Non-ionic Surfactant ,gallon,23.95,,2023,https://www.forestrydistributing.com/activator-90-surfactant-loveland-products,6/8/2023,,,,,
surfactant,Alligare 90,gallon,19.18,,2023,https://www.keystonepestsolutions.com/index.php?main_page=product_info&products_id=349&utm_source=google&utm_medium=cpc&adpos=&scid=scplp349&sc_intid=349&gclid=CjwKCAiAkrWdBhBkEiwAZ9cdcCW5AWooevuKSPZWIXbRbjiGyC5u1vynsmqO2HXmLEzk5YqwAc5V7hoC340QAvD_BwE,6/8/2023,,,,,
