type,name,unit,cost_per_unit,herb_code,cost_year,web_source,source_date,note
human,student,hour,13.71,,2022,"https://www.glassdoor.com/Salaries/student-worker-salary-SRCH_KO0,14.htm",,
human,student,hour,12,,2022,https://www.ziprecruiter.com/Salaries/Student-Worker-Salary,,
human,student,hour,8.58,,2022,https://www.indeed.com/career/student-worker/salaries,,
human,seasonal,hour,16.11,,2022,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,2020,Forest and Conservation Workers mean wage
human,seasonal,hour,23.43,,2022,https://www.federalpay.org/employees/occupations/forestry-technician,2020,Forestry Technician
human,seasonal,hour,18.95,,2022,https://www.federalpay.org/employees/occupations/laboring,2020,USFWS 'Laborer'
human,seasonal,hour,20.42,,2022,https://www.federalpay.org/employees/occupations/laboring,2020,NPS 'Laborer'
human,full,hour,16.11,,2022,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,2020,Forest and Conservation Workers mean wage
human,full,hour,22.8,,2022,https://www.federalpay.org/employees/occupations/biological-science-technician,2020,Biological Science Technician; wage divided by 2080 hours
human,full,hour,33.18,,2022,https://www.bls.gov/oes/current/oes191031.htm,2020,Conservation scientist - mean wage
human,full,hour,23.43,,2022,https://www.federalpay.org/employees/occupations/forestry-technician,2020,Forestry Technician
human,full,hour,18.95,,2022,https://www.federalpay.org/employees/occupations/laboring,2020,USFWS 'Laborer'
human,full,hour,20.42,,2022,https://www.federalpay.org/employees/occupations/laboring,2020,NPS 'Laborer'
glyphosate,AquaNeat,gallon,,2,2022,forestry-suppliers.com,1/25/2022,Discontinued
glyphosate,AquaMaster,gallon,39.98,3,2022,seedworldusa.com,1/25/2022,Updated
glyphosate,Accord Concentrate,gallon,60.2,1,2022,forestry-suppliers.com,1/25/2022,"called ""Accord XRT II Herbicide"" ?"
glyphosate,AquaPro,gallon,,4,2022,http://diy.sepro.com/aquapro-3,1/25/2022,Discontinued
glyphosate,AquaStar,gallon,58.8,5,2022,https://www.domyown.com/aqua-star-herbicide-p-1820.html,1/25/2022,Updated
glyphosate,Glyphos Aquatic,gallon,,6,2022,,1/25/2022,Could not find
glyphosate,Glyphomate 41 Weed and Grass Killer Plus,gallon,43.67,7,2022,https://www.tractorsupply.com/tsc/product/farmworks-grass-weed-killer-41-glyphosate-concentrate-2-1-2-gal,1/25/2022,Updated
glyphosate,Rodeo,gallon,59.9,8,2022,https://www.forestry-suppliers.com/product_pages/products.php?mi=50821&itemnum=17110,1/25/2022,Updated
glyphosate,Roundup Custom,gallon,56.1,9,2022,forestry-suppliers.com,1/25/2022,Updated
glyphosate,Roundup WeatherMAX,gallon,,10,2022,cropwatch.unl.edu,1/25/2022,Could not find. Discontinued?
glyphosate,Shore-Klear,gallon,45.11,11,2022,https://pentairaes.com/shore-klear-25-gallons.html,1/25/2022,Updated
glyphosate,Shore-Klear Plus,gallon,59.99,12,2022,https://www.tractorsupply.com/tsc/product/applied-biochemists-shoreklear-plus-aquatic-herbicide,1/25/2022,Updated
glyphosate,Shoreline Defense,gallon,126.99,13,2022,https://www.pondandgardendepot.com/algae-control-water-treatments/pond-logic-shoreline-defense-aquatic-herbicide/?sku=POT-AM-107,1/25/2022,Updated
glyphosate,VisionMAX,gallon,,14,2022,,1/25/2022,Could not find
glyphosate,Roundup ProMax,gallon,60.2,16,2022,forestry-suppliers.com,1/25/2022,Added 2022. New version of weathermax?
glyphosate,Farm General Aquatic Herbicide,gallon,54.98,17,2022,https://www.homedepot.com/p/1-Gal-Aquatic-Herbicide-53-8-Glyphosate-Concentrate-75298/304755435,1/25/2022,Added 2022. Used by a participant.
glyphosate,Alligare Glyphosate 5.4,gallon,38,18,2022,https://www.lakeproinc.com/product/glyphosate-5-4/,1/25/2022,Added 2022. Used by a participant.
imazapyr,Arsenal,gallon,153.18,1,2022,forestrydistributing.com,1/25/2022,updated
imazapyr,Arsenal Powerline,gallon,87.98,2,2022,forestrydistributing.com,1/25/2022,updated
imazapyr,Habitat,gallon,119.98,3,2022,forestrydistributing.com,1/25/2022,updated
imazapyr,Nufarm Polaris,gallon,82.38,4,2022,forestrydistributing.com,1/25/2022,updated
imazapyr,Nufarm Polaris AC Complete,gallon,159.98,5,2022,forestrydistributing.com,1/25/2022,updated
imazapyr,Alligare Imazapyr 4 SL,gallon,146.95,7,2023,https://www.forestrydistributing.com/imazapyr-4-sl-herbicide-generic-arsenal-ac-alligare,4/5/2023,Submitted request to add to web hub options
