"restr_id","herbicide","cut","controlwater","mnt_comb","mnt_index"
0,1,1,1,"GRG",1
0,1,1,1,"G+PF",2
0,1,1,1,"GPF",3
0,1,1,1,"G+FF",4
0,1,1,1,"G+RR",5
0,1,1,1,"GFF",6
0,1,1,1,"G+LR",7
0,1,1,1,"GLR",8
0,1,1,1,"G+BR",9
0,1,1,1,"IRR",10
0,1,1,1,"GBR",11
0,1,1,1,"GRR",12
0,1,1,1,"RPF",13
0,1,1,1,"RRR",14
0,1,1,1,"CRC",15
0,1,1,1,"SRS",16
1,1,1,0,"GRG",1
1,1,1,0,"G+RR",5
1,1,1,0,"G+LR",7
1,1,1,0,"GLR",8
1,1,1,0,"G+BR",9
1,1,1,0,"IRR",10
1,1,1,0,"GBR",11
1,1,1,0,"GRR",12
1,1,1,0,"RRR",14
1,1,1,0,"CRC",15
1,1,1,0,"SRS",16
2,0,1,1,"RPF",13
2,0,1,1,"RRR",14
2,0,1,1,"CRC",15
2,0,1,1,"SRS",16
3,1,0,1,"GRG",1
3,1,0,1,"G+PF",2
3,1,0,1,"GPF",3
3,1,0,1,"G+FF",4
3,1,0,1,"G+RR",5
3,1,0,1,"GFF",6
3,1,0,1,"G+LR",7
3,1,0,1,"GLR",8
3,1,0,1,"G+BR",9
3,1,0,1,"IRR",10
3,1,0,1,"GBR",11
3,1,0,1,"GRR",12
3,1,0,1,"RPF",13
3,1,0,1,"RRR",14
3,1,0,1,"SRS",16
4,0,1,0,"RRR",14
4,0,1,0,"CRC",15
4,0,1,0,"SRS",16
5,1,0,0,"GRG",1
5,1,0,0,"G+RR",5
5,1,0,0,"G+LR",7
5,1,0,0,"GLR",8
5,1,0,0,"G+BR",9
5,1,0,0,"IRR",10
5,1,0,0,"GBR",11
5,1,0,0,"GRR",12
5,1,0,0,"RRR",14
5,1,0,0,"SRS",16
6,0,0,1,"RPF",13
6,0,0,1,"RRR",14
6,0,0,1,"SRS",16
7,0,0,0,"RRR",14
7,0,0,0,"SRS",16
