state_begin,state_end,satisfaction,Scenario,participant
1,1,95,Low cost,1
1,2,65,Low cost,1
1,3,50,Low cost,1
1,4,35,Low cost,1
1,5,25,Low cost,1
1,6,15,Low cost,1
6,1,100,Low cost,1
6,2,95,Low cost,1
6,3,85,Low cost,1
6,4,85,Low cost,1
6,5,70,Low cost,1
6,6,50,Low cost,1
1,1,90,High cost,1
1,2,45,High cost,1
1,3,30,High cost,1
1,4,20,High cost,1
1,5,10,High cost,1
1,6,5,High cost,1
6,1,100,High cost,1
6,2,95,High cost,1
6,3,85,High cost,1
6,4,60,High cost,1
6,5,30,High cost,1
6,6,15,High cost,1
1,1,100,No cost,1
1,2,80,No cost,1
1,3,60,No cost,1
1,4,45,No cost,1
1,5,35,No cost,1
1,6,25,No cost,1
6,1,100,No cost,1
6,2,95,No cost,1
6,3,95,No cost,1
6,4,90,No cost,1
6,5,70,No cost,1
6,6,50,No cost,1
1,1,78,Low cost,2
1,2,49,Low cost,2
1,3,28,Low cost,2
1,4,18,Low cost,2
1,5,11,Low cost,2
1,6,6,Low cost,2
6,1,100,Low cost,2
6,2,88,Low cost,2
6,3,69,Low cost,2
6,4,55,Low cost,2
6,5,43,Low cost,2
6,6,37,Low cost,2
1,1,65,High cost,2
1,2,41,High cost,2
1,3,25,High cost,2
1,4,11,High cost,2
1,5,6,High cost,2
1,6,0,High cost,2
6,1,91,High cost,2
6,2,71,High cost,2
6,3,59,High cost,2
6,4,52,High cost,2
6,5,40,High cost,2
6,6,17,High cost,2
1,1,84,No cost,2
1,2,57,No cost,2
1,3,42,No cost,2
1,4,31,No cost,2
1,5,23,No cost,2
1,6,17,No cost,2
6,1,100,No cost,2
6,2,92,No cost,2
6,3,84,No cost,2
6,4,76,No cost,2
6,5,61,No cost,2
6,6,43,No cost,2
1,1,100,Low cost,3
1,2,50,Low cost,3
1,3,50,Low cost,3
1,4,42,Low cost,3
1,5,27,Low cost,3
1,6,14,Low cost,3
6,1,100,Low cost,3
6,2,91,Low cost,3
6,3,80,Low cost,3
6,4,62,Low cost,3
6,5,50,Low cost,3
6,6,31,Low cost,3
1,1,25,High cost,3
1,2,25,High cost,3
1,3,15,High cost,3
1,4,10,High cost,3
1,5,4,High cost,3
1,6,0,High cost,3
6,1,100,High cost,3
6,2,100,High cost,3
6,3,95,High cost,3
6,4,50,High cost,3
6,5,15,High cost,3
6,6,0,High cost,3
1,1,50,No cost,3
1,2,50,No cost,3
1,3,50,No cost,3
1,4,38,No cost,3
1,5,33,No cost,3
1,6,25,No cost,3
6,1,100,No cost,3
6,2,100,No cost,3
6,3,100,No cost,3
6,4,100,No cost,3
6,5,79,No cost,3
6,6,50,No cost,3
1,1,95,Low cost,4
1,2,50,Low cost,4
1,3,30,Low cost,4
1,4,15,Low cost,4
1,5,15,Low cost,4
1,6,5,Low cost,4
6,1,99,Low cost,4
6,2,90,Low cost,4
6,3,90,Low cost,4
6,4,75,Low cost,4
6,5,60,Low cost,4
6,6,25,Low cost,4
1,1,90,High cost,4
1,2,20,High cost,4
1,3,1,High cost,4
1,4,1,High cost,4
1,5,1,High cost,4
1,6,1,High cost,4
6,1,99,High cost,4
6,2,90,High cost,4
6,3,50,High cost,4
6,4,25,High cost,4
6,5,1,High cost,4
6,6,1,High cost,4
1,1,99,No cost,4
1,2,90,No cost,4
1,3,65,No cost,4
1,4,25,No cost,4
1,5,15,No cost,4
1,6,5,No cost,4
6,1,99,No cost,4
6,2,99,No cost,4
6,3,99,No cost,4
6,4,99,No cost,4
6,5,99,No cost,4
6,6,75,No cost,4
1,1,50,Low cost,5
1,2,0,Low cost,5
1,3,0,Low cost,5
1,4,0,Low cost,5
1,5,0,Low cost,5
1,6,0,Low cost,5
6,1,100,Low cost,5
6,2,75,Low cost,5
6,3,55,Low cost,5
6,4,25,Low cost,5
6,5,50,Low cost,5
6,6,0,Low cost,5
1,1,80,High cost,5
1,2,0,High cost,5
1,3,0,High cost,5
1,4,0,High cost,5
1,5,0,High cost,5
1,6,0,High cost,5
6,1,100,High cost,5
6,2,75,High cost,5
6,3,85,High cost,5
6,4,50,High cost,5
6,5,65,High cost,5
6,6,0,High cost,5
1,1,100,No cost,5
1,2,16,No cost,5
1,3,10,No cost,5
1,4,4,No cost,5
1,5,3,No cost,5
1,6,0,No cost,5
6,1,100,No cost,5
6,2,90,No cost,5
6,3,80,No cost,5
6,4,70,No cost,5
6,5,50,No cost,5
6,6,50,No cost,5
1,1,45,Low cost,6
1,2,25,Low cost,6
1,3,0,Low cost,6
1,4,0,Low cost,6
1,5,0,Low cost,6
1,6,0,Low cost,6
6,1,100,Low cost,6
6,2,100,Low cost,6
6,3,100,Low cost,6
6,4,85,Low cost,6
6,5,80,Low cost,6
6,6,45,Low cost,6
1,1,35,High cost,6
1,2,0,High cost,6
1,3,0,High cost,6
1,4,0,High cost,6
1,5,0,High cost,6
1,6,0,High cost,6
6,1,100,High cost,6
6,2,100,High cost,6
6,3,85,High cost,6
6,4,75,High cost,6
6,5,50,High cost,6
6,6,0,High cost,6
1,1,50,No cost,6
1,2,35,No cost,6
1,3,20,No cost,6
1,4,0,No cost,6
1,5,0,No cost,6
1,6,0,No cost,6
6,1,100,No cost,6
6,2,100,No cost,6
6,3,100,No cost,6
6,4,100,No cost,6
6,5,100,No cost,6
6,6,50,No cost,6
1,1,50,Low cost,7
1,2,40,Low cost,7
1,3,25,Low cost,7
1,4,15,Low cost,7
1,5,5,Low cost,7
1,6,0,Low cost,7
6,1,95,Low cost,7
6,2,90,Low cost,7
6,3,85,Low cost,7
6,4,75,Low cost,7
6,5,65,Low cost,7
6,6,50,Low cost,7
1,1,48,High cost,7
1,2,40,High cost,7
1,3,20,High cost,7
1,4,10,High cost,7
1,5,5,High cost,7
1,6,0,High cost,7
6,1,95,High cost,7
6,2,85,High cost,7
6,3,70,High cost,7
6,4,60,High cost,7
6,5,51,High cost,7
6,6,10,High cost,7
1,1,50,No cost,7
1,2,45,No cost,7
1,3,40,No cost,7
1,4,30,No cost,7
1,5,20,No cost,7
1,6,5,No cost,7
6,1,95,No cost,7
6,2,90,No cost,7
6,3,85,No cost,7
6,4,80,No cost,7
6,5,75,No cost,7
6,6,50,No cost,7
1,1,90,Low cost,8
1,2,70,Low cost,8
1,3,60,Low cost,8
1,4,40,Low cost,8
1,5,25,Low cost,8
1,6,10,Low cost,8
6,1,100,Low cost,8
6,2,90,Low cost,8
6,3,90,Low cost,8
6,4,90,Low cost,8
6,5,90,Low cost,8
6,6,90,Low cost,8
1,1,90,High cost,8
1,2,50,High cost,8
1,3,50,High cost,8
1,4,5,High cost,8
1,5,5,High cost,8
1,6,5,High cost,8
6,1,100,High cost,8
6,2,95,High cost,8
6,3,95,High cost,8
6,4,70,High cost,8
6,5,70,High cost,8
6,6,0,High cost,8
1,1,100,No cost,8
1,2,90,No cost,8
1,3,80,No cost,8
1,4,20,No cost,8
1,5,20,No cost,8
1,6,20,No cost,8
6,1,100,No cost,8
6,2,100,No cost,8
6,3,90,No cost,8
6,4,60,No cost,8
6,5,60,No cost,8
6,6,50,No cost,8
