est_before,dens_before,treatment,respondent,pr_H,prop_H,prop_L
20,L,RRR,1,50,0.5,0.5
20,L,RRR,2,50,0.5,0.5
20,L,RRR,3,95,0.95,0.05
20,L,RRR,4,65,0.65,0.35
20,L,RRR,5,70,0.7,0.3
20,L,RRR,6,10,0.1,0.9
20,L,RRR,7,70,0.7,0.3
20,L,RRR,8,20,0.2,0.8
20,L,RRR,9,50,0.5,0.5
20,L,GRR,1,0,0,1
20,L,GRR,2,0,0,1
20,L,GRR,3,0,0,1
20,L,GRR,4,5,0.05,0.95
20,L,GRR,5,30,0.3,0.7
20,L,GRR,6,0,0,1
20,L,GRR,7,10,0.1,0.9
20,L,GRR,8,10,0.1,0.9
20,L,GRR,9,25,0.25,0.75
20,L,GPF,1,0,0,1
20,L,GPF,2,0,0,1
20,L,GPF,3,0,0,1
20,L,GPF,4,5,0.05,0.95
20,L,GPF,5,20,0.2,0.8
20,L,GPF,6,0,0,1
20,L,GPF,7,10,0.1,0.9
20,L,GPF,8,15,0.15,0.85
20,L,RPF,1,5,0.05,0.95
20,L,RPF,2,10,0.1,0.9
20,L,RPF,3,40,0.4,0.6
20,L,RPF,4,10,0.1,0.9
20,L,RPF,5,50,0.5,0.5
20,L,RPF,6,20,0.2,0.8
20,L,RPF,7,30,0.3,0.7
20,H,RRR,1,100,1,0
20,H,RRR,2,100,1,0
20,H,RRR,3,100,1,0
20,H,RRR,4,100,1,0
20,H,RRR,5,90,0.9,0.1
20,H,RRR,6,100,1,0
20,H,RRR,7,100,1,0
20,H,RRR,8,100,1,0
20,H,RRR,9,90,0.9,0.1
20,H,GRR,1,5,0.05,0.95
20,H,GRR,2,10,0.1,0.9
20,H,GRR,3,5,0.05,0.95
20,H,GRR,4,35,0.35,0.65
20,H,GRR,5,50,0.5,0.5
20,H,GRR,6,10,0.1,0.9
20,H,GRR,7,30,0.3,0.7
20,H,GRR,8,50,0.5,0.5
20,H,GRR,9,40,0.4,0.6
20,H,GPF,1,3,0.03,0.97
20,H,GPF,2,20,0.2,0.8
20,H,GPF,3,0,0,1
20,H,GPF,4,25,0.25,0.75
20,H,GPF,5,40,0.4,0.6
20,H,GPF,6,0,0,1
20,H,GPF,7,50,0.5,0.5
20,H,GPF,8,30,0.3,0.7
20,H,RPF,1,93,0.93,0.07
20,H,RPF,2,70,0.7,0.3
20,H,RPF,3,70,0.7,0.3
20,H,RPF,4,50,0.5,0.5
20,H,RPF,5,60,0.6,0.4
20,H,RPF,6,70,0.7,0.3
20,H,RPF,7,50,0.5,0.5
80,L,RRR,1,60,0.6,0.4
80,L,RRR,2,50,0.5,0.5
80,L,RRR,3,100,1,0
80,L,RRR,4,75,0.75,0.25
80,L,RRR,5,80,0.8,0.2
80,L,RRR,6,20,0.2,0.8
80,L,RRR,7,90,0.9,0.1
80,L,RRR,8,90,0.9,0.1
80,L,RRR,9,30,0.3,0.7
80,L,GRR,1,0,0,1
80,L,GRR,2,0,0,1
80,L,GRR,3,5,0.05,0.95
80,L,GRR,4,5,0.05,0.95
80,L,GRR,5,30,0.3,0.7
80,L,GRR,6,0,0,1
80,L,GRR,7,20,0.2,0.8
80,L,GRR,8,20,0.2,0.8
80,L,GRR,9,20,0.2,0.8
80,L,GPF,1,0,0,1
80,L,GPF,2,0,0,1
80,L,GPF,3,0,0,1
80,L,GPF,4,5,0.05,0.95
80,L,GPF,5,20,0.2,0.8
80,L,GPF,6,0,0,1
80,L,GPF,7,20,0.2,0.8
80,L,GPF,8,10,0.1,0.9
80,L,RPF,1,10,0.1,0.9
80,L,RPF,2,10,0.1,0.9
80,L,RPF,3,50,0.5,0.5
80,L,RPF,4,15,0.15,0.85
80,L,RPF,5,50,0.5,0.5
80,L,RPF,6,20,0.2,0.8
80,L,RPF,7,10,0.1,0.9
80,H,RRR,1,100,1,0
80,H,RRR,2,100,1,0
80,H,RRR,3,100,1,0
80,H,RRR,4,100,1,0
80,H,RRR,5,90,0.9,0.1
80,H,RRR,6,100,1,0
80,H,RRR,7,100,1,0
80,H,RRR,8,100,1,0
80,H,RRR,9,95,0.95,0.05
80,H,GRR,1,5,0.05,0.95
80,H,GRR,2,20,0.2,0.8
80,H,GRR,3,10,0.1,0.9
80,H,GRR,4,45,0.45,0.55
80,H,GRR,5,50,0.5,0.5
80,H,GRR,6,10,0.1,0.9
80,H,GRR,7,40,0.4,0.6
80,H,GRR,8,80,0.8,0.2
80,H,GRR,9,40,0.4,0.6
80,H,GPF,1,3,0.03,0.97
80,H,GPF,2,30,0.3,0.7
80,H,GPF,3,5,0.05,0.95
80,H,GPF,4,35,0.35,0.65
80,H,GPF,5,40,0.4,0.6
80,H,GPF,6,0,0,1
80,H,GPF,7,100,1,0
80,H,GPF,8,30,0.3,0.7
80,H,RPF,1,93,0.93,0.07
80,H,RPF,2,50,0.5,0.5
80,H,RPF,3,50,0.5,0.5
80,H,RPF,4,50,0.5,0.5
80,H,RPF,5,60,0.6,0.4
80,H,RPF,6,80,0.8,0.2
80,H,RPF,7,50,0.5,0.5
