est_before,dens_before,treatment,est_after,pr_est_after,respondent,change_dens,,,
20,L,RRR,10,0,1,50,,COLUMNS,
20,L,RRR,20,0,1,50,,est_before,"% established prior to treatment (20%, 80%)"
20,L,RRR,30,90,1,50,,dens_before,"stem density prior to treatment (H, L)"
20,L,RRR,40,10,1,50,,treatment,"Treatment type (RRR, GRR, GPF, RPF)"
20,L,RRR,50,0,1,50,,est_after,post-treatment state bins (0-10% through 91-100%) 
20,L,RRR,60,0,1,50,,pr_est_after,% established post-treatment (elicited; points distributed between 10 10%-wide bins)
20,L,RRR,70,0,1,50,,respondent,respondent ID (1-9)
20,L,RRR,80,0,1,50,,change_dens,Probability that treatment changes stem density class
20,L,RRR,90,0,1,50,,,
20,L,RRR,100,0,1,50,,,
20,L,RRR,10,0,2,50,,,
20,L,RRR,20,0,2,50,,,
20,L,RRR,30,60,2,50,,,
20,L,RRR,40,30,2,50,,,
20,L,RRR,50,10,2,50,,,
20,L,RRR,60,0,2,50,,,
20,L,RRR,70,0,2,50,,,
20,L,RRR,80,0,2,50,,,
20,L,RRR,90,0,2,50,,,
20,L,RRR,100,0,2,50,,,
20,L,RRR,10,0,3,95,,,
20,L,RRR,20,0,3,95,,,
20,L,RRR,30,15,3,95,,,
20,L,RRR,40,60,3,95,,,
20,L,RRR,50,20,3,95,,,
20,L,RRR,60,5,3,95,,,
20,L,RRR,70,0,3,95,,,
20,L,RRR,80,0,3,95,,,
20,L,RRR,90,0,3,95,,,
20,L,RRR,100,0,3,95,,,
20,L,RRR,10,0,4,65,,,
20,L,RRR,20,0,4,65,,,
20,L,RRR,30,45,4,65,,,
20,L,RRR,40,40,4,65,,,
20,L,RRR,50,15,4,65,,,
20,L,RRR,60,0,4,65,,,
20,L,RRR,70,0,4,65,,,
20,L,RRR,80,0,4,65,,,
20,L,RRR,90,0,4,65,,,
20,L,RRR,100,0,4,65,,,
20,L,RRR,10,0,5,70,,,
20,L,RRR,20,10,5,70,,,
20,L,RRR,30,30,5,70,,,
20,L,RRR,40,50,5,70,,,
20,L,RRR,50,10,5,70,,,
20,L,RRR,60,0,5,70,,,
20,L,RRR,70,0,5,70,,,
20,L,RRR,80,0,5,70,,,
20,L,RRR,90,0,5,70,,,
20,L,RRR,100,0,5,70,,,
20,L,RRR,10,0,6,10,,,
20,L,RRR,20,60,6,10,,,
20,L,RRR,30,30,6,10,,,
20,L,RRR,40,10,6,10,,,
20,L,RRR,50,0,6,10,,,
20,L,RRR,60,0,6,10,,,
20,L,RRR,70,0,6,10,,,
20,L,RRR,80,0,6,10,,,
20,L,RRR,90,0,6,10,,,
20,L,RRR,100,0,6,10,,,
20,L,RRR,10,0,7,70,,,
20,L,RRR,20,0,7,70,,,
20,L,RRR,30,60,7,70,,,
20,L,RRR,40,30,7,70,,,
20,L,RRR,50,10,7,70,,,
20,L,RRR,60,0,7,70,,,
20,L,RRR,70,0,7,70,,,
20,L,RRR,80,0,7,70,,,
20,L,RRR,90,0,7,70,,,
20,L,RRR,100,0,7,70,,,
20,L,RRR,10,0,8,20,,,
20,L,RRR,20,20,8,20,,,
20,L,RRR,30,50,8,20,,,
20,L,RRR,40,30,8,20,,,
20,L,RRR,50,0,8,20,,,
20,L,RRR,60,0,8,20,,,
20,L,RRR,70,0,8,20,,,
20,L,RRR,80,0,8,20,,,
20,L,RRR,90,0,8,20,,,
20,L,RRR,100,0,8,20,,,
20,L,RRR,10,0,9,50,,,
20,L,RRR,20,50,9,50,,,
20,L,RRR,30,30,9,50,,,
20,L,RRR,40,10,9,50,,,
20,L,RRR,50,5,9,50,,,
20,L,RRR,60,5,9,50,,,
20,L,RRR,70,0,9,50,,,
20,L,RRR,80,0,9,50,,,
20,L,RRR,90,0,9,50,,,
20,L,RRR,100,0,9,50,,,
20,H,RRR,10,0,1,0,,,
20,H,RRR,20,80,1,0,,,
20,H,RRR,30,20,1,0,,,
20,H,RRR,40,0,1,0,,,
20,H,RRR,50,0,1,0,,,
20,H,RRR,60,0,1,0,,,
20,H,RRR,70,0,1,0,,,
20,H,RRR,80,0,1,0,,,
20,H,RRR,90,0,1,0,,,
20,H,RRR,100,0,1,0,,,
20,H,RRR,10,0,2,0,,,
20,H,RRR,20,0,2,0,,,
20,H,RRR,30,0,2,0,,,
20,H,RRR,40,60,2,0,,,
20,H,RRR,50,30,2,0,,,
20,H,RRR,60,10,2,0,,,
20,H,RRR,70,0,2,0,,,
20,H,RRR,80,0,2,0,,,
20,H,RRR,90,0,2,0,,,
20,H,RRR,100,0,2,0,,,
20,H,RRR,10,0,3,0,,,
20,H,RRR,20,0,3,0,,,
20,H,RRR,30,30,3,0,,,
20,H,RRR,40,70,3,0,,,
20,H,RRR,50,0,3,0,,,
20,H,RRR,60,0,3,0,,,
20,H,RRR,70,0,3,0,,,
20,H,RRR,80,0,3,0,,,
20,H,RRR,90,0,3,0,,,
20,H,RRR,100,0,3,0,,,
20,H,RRR,10,0,4,0,,,
20,H,RRR,20,0,4,0,,,
20,H,RRR,30,35,4,0,,,
20,H,RRR,40,50,4,0,,,
20,H,RRR,50,15,4,0,,,
20,H,RRR,60,0,4,0,,,
20,H,RRR,70,0,4,0,,,
20,H,RRR,80,0,4,0,,,
20,H,RRR,90,0,4,0,,,
20,H,RRR,100,0,4,0,,,
20,H,RRR,10,0,5,10,,,
20,H,RRR,20,10,5,10,,,
20,H,RRR,30,20,5,10,,,
20,H,RRR,40,50,5,10,,,
20,H,RRR,50,20,5,10,,,
20,H,RRR,60,0,5,10,,,
20,H,RRR,70,0,5,10,,,
20,H,RRR,80,0,5,10,,,
20,H,RRR,90,0,5,10,,,
20,H,RRR,100,0,5,10,,,
20,H,RRR,10,0,6,0,,,
20,H,RRR,20,0,6,0,,,
20,H,RRR,30,50,6,0,,,
20,H,RRR,40,40,6,0,,,
20,H,RRR,50,10,6,0,,,
20,H,RRR,60,0,6,0,,,
20,H,RRR,70,0,6,0,,,
20,H,RRR,80,0,6,0,,,
20,H,RRR,90,0,6,0,,,
20,H,RRR,100,0,6,0,,,
20,H,RRR,10,0,7,0,,,
