,GRG,G+PF,GPF,G+FF,G+RR,GFF,G+LR,GLR,G+BR,IRR,GBR,GRR,RPF,RRR,CRC,SRS
GRG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G+PF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G+FF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G+RR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GFF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G+LR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GLR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G+BR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IRR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GRR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RPF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RRR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
