"mnt_comb","state_begin","state_end","trans_prob","concentration"
"CRC",1,1,0.998777795,0.998777795
"CRC",1,2,0.001222205,0.001222205
"CRC",1,3,0,0
"CRC",1,4,0,0
"CRC",1,5,0,0
"CRC",1,6,0,0
"CRC",2,1,0.996140389,0.996140389
"CRC",2,2,0.003859611,0.003859611
"CRC",2,3,0,0
"CRC",2,4,0,0
"CRC",2,5,0,0
"CRC",2,6,0,0
"CRC",3,1,0.998833844,0.998833844
"CRC",3,2,0.001166156,0.001166156
"CRC",3,3,0,0
"CRC",3,4,0,0
"CRC",3,5,0,0
"CRC",3,6,0,0
"CRC",4,1,0.995995868,0.995995868
"CRC",4,2,0.004004132,0.004004132
"CRC",4,3,0,0
"CRC",4,4,0,0
"CRC",4,5,0,0
"CRC",4,6,0,0
"CRC",5,1,0.843354474,0.843354474
"CRC",5,2,0.000925526,0.000925526
"CRC",5,3,0.155549295,0.155549295
"CRC",5,4,0.000170705,0.000170705
"CRC",5,5,0,0
"CRC",5,6,0,0
"CRC",6,1,0.990785522166667,0.990785522166667
"CRC",6,2,0.00416449016666668,0.00416449016666668
"CRC",6,3,0.00502886916666668,0.00502886916666668
"CRC",6,4,2.11061666666773e-05,2.11061666666773e-05
"CRC",6,5,6.16666667729859e-09,6.16666667729859e-09
"CRC",6,6,6.16666667729859e-09,6.16666667729859e-09
"G+BR",1,1,0.969626684,0.969626684
"G+BR",1,2,0.030373316,0.030373316
"G+BR",1,3,0,0
"G+BR",1,4,0,0
"G+BR",1,5,0,0
"G+BR",1,6,0,0
"G+BR",2,1,0.88678166,0.88678166
"G+BR",2,2,0.11321834,0.11321834
"G+BR",2,3,0,0
"G+BR",2,4,0,0
"G+BR",2,5,0,0
"G+BR",2,6,0,0
"G+BR",3,1,0.670383625,0.670383625
"G+BR",3,2,0.021051375,0.021051375
"G+BR",3,3,0.299170455,0.299170455
"G+BR",3,4,0.009394545,0.009394545
"G+BR",3,5,0,0
"G+BR",3,6,0,0
"G+BR",4,1,0.557078043,0.557078043
"G+BR",4,2,0.071469457,0.071469457
"G+BR",4,3,0.32921622,0.32921622
"G+BR",4,4,0.04223628,0.04223628
"G+BR",4,5,0,0
"G+BR",4,6,0,0
"G+BR",5,1,1.93972499999575e-06,1.93972499999575e-06
"G+BR",5,2,6.08249999957501e-08,6.08249999957501e-08
"G+BR",5,3,0.969461271725,0.969461271725
"G+BR",5,4,0.030536727725,0.030536727725
"G+BR",5,5,1.85037170770859e-17,1.85037170770859e-17
"G+BR",5,6,1.85037170770859e-17,1.85037170770859e-17
"G+BR",6,1,0,0
"G+BR",6,2,0,0
"G+BR",6,3,0.885683051,0.885683051
"G+BR",6,4,0.114316949,0.114316949
"G+BR",6,5,0,0
"G+BR",6,6,0,0
"G+FF",1,1,0.983992001,0.983992001
"G+FF",1,2,0.016007999,0.016007999
"G+FF",1,3,0,0
"G+FF",1,4,0,0
"G+FF",1,5,0,0
"G+FF",1,6,0,0
"G+FF",2,1,0.95016782,0.95016782
"G+FF",2,2,0.04983218,0.04983218
"G+FF",2,3,0,0
"G+FF",2,4,0,0
"G+FF",2,5,0,0
"G+FF",2,6,0,0
"G+FF",3,1,0.968376531,0.968376531
"G+FF",3,2,0.015750969,0.015750969
"G+FF",3,3,0.015618461,0.015618461
"G+FF",3,4,0.000254039,0.000254039
"G+FF",3,5,0,0
"G+FF",3,6,0,0
"G+FF",4,1,0.932714013,0.932714013
"G+FF",4,2,0.049230987,0.049230987
"G+FF",4,3,0.017149791,0.017149791
"G+FF",4,4,0.000905209,0.000905209
"G+FF",4,5,0,0
"G+FF",4,6,0,0
"G+FF",5,1,0.069621846,0.069621846
"G+FF",5,2,0.001132154,0.001132154
"G+FF",5,3,0.914376884,0.914376884
"G+FF",5,4,0.014869116,0.014869116
"G+FF",5,5,0,0
"G+FF",5,6,0,0
"G+FF",6,1,0.077897426,0.077897426
"G+FF",6,2,0.004144574,0.004144574
"G+FF",6,3,0.871584863,0.871584863
"G+FF",6,4,0.046373137,0.046373137
"G+FF",6,5,0,0
"G+FF",6,6,0,0
"G+LR",1,1,0.971833801,0.971833801
"G+LR",1,2,0.028166199,0.028166199
"G+LR",1,3,0,0
"G+LR",1,4,0,0
"G+LR",1,5,0,0
"G+LR",1,6,0,0
"G+LR",2,1,0.897549044,0.897549044
"G+LR",2,2,0.102450956,0.102450956
"G+LR",2,3,0,0
"G+LR",2,4,0,0
"G+LR",2,5,0,0
"G+LR",2,6,0,0
"G+LR",3,1,0.714375279,0.714375279
"G+LR",3,2,0.020749721,0.020749721
"G+LR",3,3,0.257398608,0.257398608
"G+LR",3,4,0.007476392,0.007476392
"G+LR",3,5,0,0
"G+LR",3,6,0,0
"G+LR",4,1,0.608807927,0.608807927
"G+LR",4,2,0.069839573,0.069839573
"G+LR",4,3,0.288282134,0.288282134
"G+LR",4,4,0.033070366,0.033070366
"G+LR",4,5,0,0
"G+LR",4,6,0,0
"G+LR",5,1,1.36006666666663e-05,1.36006666666663e-05
"G+LR",5,2,3.96666666666316e-07,3.96666666666316e-07
"G+LR",5,3,0.971685310666667,0.971685310666667
"G+LR",5,4,0.0283006906666667,0.0283006906666667
"G+LR",5,5,6.66666666315763e-10,6.66666666315763e-10
"G+LR",5,6,6.66666666315763e-10,6.66666666315763e-10
"G+LR",6,1,7.17033333334241e-06,7.17033333334241e-06
"G+LR",6,2,8.2833333334241e-07,8.2833333334241e-07
"G+LR",6,3,0.896507243333333,0.896507243333333
"G+LR",6,4,0.103484757333333,0.103484757333333
"G+LR",6,5,3.3333334240974e-10,3.3333334240974e-10
"G+LR",6,6,3.3333334240974e-10,3.3333334240974e-10
"G+PF",1,1,0.991201459,0.991201459
"G+PF",1,2,0.008798541,0.008798541
"G+PF",1,3,0,0
"G+PF",1,4,0,0
"G+PF",1,5,0,0
"G+PF",1,6,0,0
"G+PF",2,1,0.9753453,0.9753453
"G+PF",2,2,0.0246547,0.0246547
"G+PF",2,3,0,0
"G+PF",2,4,0,0
"G+PF",2,5,0,0
"G+PF",2,6,0,0
"G+PF",3,1,0.99123017305,0.99123017305
"G+PF",3,2,0.00876482505,0.00876482505
"G+PF",3,3,4.95904999999541e-06,4.95904999999541e-06
"G+PF",3,4,4.28499999954115e-08,4.28499999954115e-08
"G+PF",3,5,1.85037170770859e-17,1.85037170770859e-17
"G+PF",3,6,1.85037170770859e-17,1.85037170770859e-17
"G+PF",4,1,0.975125919,0.975125919
"G+PF",4,2,0.024874081,0.024874081
"G+PF",4,3,0,0
"G+PF",4,4,0,0
"G+PF",4,5,0,0
"G+PF",4,6,0,0
"G+PF",5,1,0.335243995,0.335243995
"G+PF",5,2,0.002950005,0.002950005
"G+PF",5,3,0.656033186,0.656033186
"G+PF",5,4,0.005772814,0.005772814
"G+PF",5,5,0,0
"G+PF",5,6,0,0
"G+PF",6,1,0.433490682,0.433490682
"G+PF",6,2,0.011183318,0.011183318
"G+PF",6,3,0.541359842,0.541359842
"G+PF",6,4,0.013966158,0.013966158
"G+PF",6,5,0,0
"G+PF",6,6,0,0
"G+RR",1,1,0.958688201,0.958688201
"G+RR",1,2,0.041311799,0.041311799
"G+RR",1,3,0,0
"G+RR",1,4,0,0
"G+RR",1,5,0,0
"G+RR",1,6,0,0
"G+RR",2,1,0.828964327,0.828964327
"G+RR",2,2,0.171035673,0.171035673
"G+RR",2,3,0,0
"G+RR",2,4,0,0
"G+RR",2,5,0,0
"G+RR",2,6,0,0
"G+RR",3,1,0.499434598,0.499434598
"G+RR",3,2,0.021597902,0.021597902
"G+RR",3,3,0.459113281,0.459113281
"G+RR",3,4,0.019854219,0.019854219
"G+RR",3,5,0,0
"G+RR",3,6,0,0
"G+RR",4,1,0.368019881,0.368019881
"G+RR",4,2,0.076265119,0.076265119
