"cost_scenario","state_begin","state_end","satisfaction"
"High cost",1,1,0.689884939327976
"High cost",1,2,0.172160173009779
"High cost",1,3,0.0891586438455878
"High cost",1,4,0.0656055508644892
"High cost",1,5,0.0588982955833926
"High cost",1,6,0.0337417972761175
"High cost",2,1,0.738794854779366
"High cost",2,2,0.303908205782049
"High cost",2,3,0.215788375751151
"High cost",2,4,0.172348270875608
"High cost",2,5,0.127859147779723
"High cost",2,6,0.0489906284480151
"High cost",3,1,0.787704770230756
"High cost",3,2,0.435656238554318
"High cost",3,3,0.342418107656714
"High cost",3,4,0.279090990886728
"High cost",3,5,0.196819999976053
"High cost",3,6,0.0642394596199127
"High cost",4,1,0.836614685682145
"High cost",4,2,0.567404271326588
"High cost",4,3,0.469047839562277
"High cost",4,4,0.385833710897847
"High cost",4,5,0.265780852172383
"High cost",4,6,0.0794882907918104
"High cost",5,1,0.885524601133535
"High cost",5,2,0.699152304098858
"High cost",5,3,0.595677571467841
"High cost",5,4,0.492576430908966
"High cost",5,5,0.334741704368713
"High cost",5,6,0.094737121963708
"High cost",6,1,0.934434516584925
"High cost",6,2,0.830900336871128
"High cost",6,3,0.722307303373404
"High cost",6,4,0.599319150920085
"High cost",6,5,0.403702556565043
"High cost",6,6,0.109985953135606
"Low cost",1,1,0.790360231005488
"Low cost",1,2,0.260595124034654
"Low cost",1,3,0.142285618455999
"Low cost",1,4,0.106336411689216
"Low cost",1,5,0.0958923401148383
"Low cost",1,6,0.0558731270779247
"Low cost",2,1,0.824336849178012
"Low cost",2,2,0.387033648410115
"Low cost",2,3,0.276847187658748
"Low cost",2,4,0.228490100600302
"Low cost",2,5,0.183575844964436
"Low cost",2,6,0.0793312839162586
"Low cost",3,1,0.858313467350535
"Low cost",3,2,0.513472172785577
"Low cost",3,3,0.411408756861497
"Low cost",3,4,0.350643789511388
"Low cost",3,5,0.271259349814034
"Low cost",3,6,0.102789440754592
"Low cost",4,1,0.892290085523059
"Low cost",4,2,0.639910697161038
"Low cost",4,3,0.545970326064246
"Low cost",4,4,0.472797478422474
"Low cost",4,5,0.358942854663631
"Low cost",4,6,0.126247597592926
"Low cost",5,1,0.926266703695583
"Low cost",5,2,0.7663492215365
"Low cost",5,3,0.680531895266995
"Low cost",5,4,0.594951167333561
"Low cost",5,5,0.446626359513229
"Low cost",5,6,0.14970575443126
"Low cost",6,1,0.960243321868106
"Low cost",6,2,0.892787745911961
"Low cost",6,3,0.815093464469744
"Low cost",6,4,0.717104856244647
"Low cost",6,5,0.534309864362827
"Low cost",6,6,0.173163911269594
"No cost",1,1,0.908481286638251
"No cost",1,2,0.481322438728678
"No cost",1,3,0.304004210740352
"No cost",1,4,0.238560281121903
"No cost",1,5,0.218301892977054
"No cost",1,6,0.134814478292425
"No cost",2,1,0.923688834837937
"No cost",2,2,0.576334213072563
"No cost",2,3,0.427338824399269
"No cost",2,4,0.364787535499733
"No cost",2,5,0.324902652163445
"No cost",2,6,0.178938494476994
"No cost",3,1,0.938896383037622
"No cost",3,2,0.671345987416448
"No cost",3,3,0.550673438058187
"No cost",3,4,0.491014789877562
"No cost",3,5,0.431503411349837
"No cost",3,6,0.223062510661564
"No cost",4,1,0.954103931237308
"No cost",4,2,0.766357761760334
"No cost",4,3,0.674008051717105
"No cost",4,4,0.617242044255392
"No cost",4,5,0.538104170536228
"No cost",4,6,0.267186526846133
"No cost",5,1,0.969311479436994
"No cost",5,2,0.861369536104219
"No cost",5,3,0.797342665376022
"No cost",5,4,0.743469298633221
"No cost",5,5,0.644704929722619
"No cost",5,6,0.311310543030702
"No cost",6,1,0.98451902763668
"No cost",6,2,0.956381310448104
"No cost",6,3,0.92067727903494
"No cost",6,4,0.869696553011051
"No cost",6,5,0.75130568890901
"No cost",6,6,0.355434559215271
