mnt_comb,est_before,dens_before,est_after,dens_after,trans_prob,concentration
GRG,0.1,H,0.1,L,0.952545623,0.952545623
GRG,0.1,H,0.1,H,0.047454377,0.047454377
GRG,0.1,H,0.5,L,0,0
GRG,0.1,H,0.5,H,0,0
GRG,0.1,H,1,L,0,0
GRG,0.1,H,1,H,0,0
G+PF,0.1,H,0.1,L,0.9753453,0.9753453
G+PF,0.1,H,0.1,H,0.0246547,0.0246547
G+PF,0.1,H,0.5,L,0,0
G+PF,0.1,H,0.5,H,0,0
G+PF,0.1,H,1,L,0,0
G+PF,0.1,H,1,H,0,0
GPF,0.1,H,0.1,L,0.938615283,0.938615283
GPF,0.1,H,0.1,H,0.061384717,0.061384717
GPF,0.1,H,0.5,L,0,0
GPF,0.1,H,0.5,H,0,0
GPF,0.1,H,1,L,0,0
GPF,0.1,H,1,H,0,0
G+FF,0.1,H,0.1,L,0.95016782,0.95016782
G+FF,0.1,H,0.1,H,0.04983218,0.04983218
G+FF,0.1,H,0.5,L,0,0
G+FF,0.1,H,0.5,H,0,0
G+FF,0.1,H,1,L,0,0
G+FF,0.1,H,1,H,0,0
G+RR,0.1,H,0.1,L,0.828964327,0.828964327
G+RR,0.1,H,0.1,H,0.171035673,0.171035673
G+RR,0.1,H,0.5,L,0,0
G+RR,0.1,H,0.5,H,0,0
G+RR,0.1,H,1,L,0,0
G+RR,0.1,H,1,H,0,0
GFF,0.1,H,0.1,L,0.898726949,0.898726949
GFF,0.1,H,0.1,H,0.101273051,0.101273051
GFF,0.1,H,0.5,L,0,0
GFF,0.1,H,0.5,H,0,0
GFF,0.1,H,1,L,0,0
GFF,0.1,H,1,H,0,0
G+LR,0.1,H,0.1,L,0.897549044,0.897549044
G+LR,0.1,H,0.1,H,0.102450956,0.102450956
G+LR,0.1,H,0.5,L,0,0
G+LR,0.1,H,0.5,H,0,0
G+LR,0.1,H,1,L,0,0
G+LR,0.1,H,1,H,0,0
GLR,0.1,H,0.1,L,0.819484663,0.819484663
GLR,0.1,H,0.1,H,0.180515337,0.180515337
GLR,0.1,H,0.5,L,0,0
GLR,0.1,H,0.5,H,0,0
